"ID"	"Name Goods"	"Uri Goods"	"Created At"	"Name"	"Name"
"1660"	"Чайник электрический GEMLUX GL-EK5120"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek5120/"	"2018-03-06 14:26:39"	"Gemlux kush "	"Чайники электрические"
"1661"	"Чайник электрический GEMLUX GL-EK5020"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek5020/"	"2018-03-06 14:26:39"	"Gemlux kush "	"Чайники электрические"
"1662"	"Чайник электрический GEMLUX GL-EK-775G"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_775g/"	"2018-03-06 14:26:39"	"Gemlux kush "	"Чайники электрические"
"1663"	"Чайник электрический GEMLUX GL-EK-771B"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ek_771b/"	"2018-03-06 14:26:39"	"Gemlux kush "	"Чайники электрические"
"1664"	"Чайник электрический GEMLUX GL-EKTM-502G"	"http://gemlux.ru/catalog/household-appliances/cooking/teapots/chaynik_elektricheskiy_gemlux_gl_ektm_502g/"	"2018-03-06 14:26:39"	"Gemlux kush "	"Чайники электрические"
"1665"	"Холодильный шкаф для вина GEMLUX GL-WC-28C"	"http://gemlux.ru/catalog/household-appliances/cooking/wine-refrigerators/kholodilnyy_shkaf_dlya_vina_gemlux_gl_wc_28c/"	"2018-03-06 14:26:43"	"Gemlux kush "	"Холодильные шкафы для вина"
"1666"	"Холодильный шкаф для вина GEMLUX GL-WC-12C"	"http://gemlux.ru/catalog/household-appliances/cooking/wine-refrigerators/kholodilnyy_shkaf_dlya_vina_gemlux_gl_wc_12c/"	"2018-03-06 14:26:43"	"Gemlux kush "	"Холодильные шкафы для вина"
"1667"	"Холодильный шкаф для вина GEMLUX GL-WC-8W"	"http://gemlux.ru/catalog/household-appliances/cooking/wine-refrigerators/kholodilnyy_shkaf_dlya_vina_gemlux_gl_wc_8w/"	"2018-03-06 14:26:43"	"Gemlux kush "	"Холодильные шкафы для вина"
"1668"	"Хлебопечка GEMLUX GL-BM-999W"	"http://gemlux.ru/catalog/household-appliances/cooking/khlebopechki/khlebopechka_gemlux_gl_bm_999w/"	"2018-03-06 14:26:45"	"Gemlux kush "	"Хлебопечки"
"1669"	"Хлебопечка GEMLUX GL-BM-977"	"http://gemlux.ru/catalog/household-appliances/cooking/khlebopechki/khlebopechka_gemlux_gl_bm_977/"	"2018-03-06 14:26:45"	"Gemlux kush "	"Хлебопечки"
"1670"	"Хлебопечка GEMLUX GL-BM-789"	"http://gemlux.ru/catalog/household-appliances/cooking/khlebopechki/khlebopechka_gemlux_gl_bm_789/"	"2018-03-06 14:26:45"	"Gemlux kush "	"Хлебопечки"
"1671"	"Хлебопечка GEMLUX GL-BM-775"	"http://gemlux.ru/catalog/household-appliances/cooking/khlebopechki/khlebopechka_gemlux_gl_bm_775/"	"2018-03-06 14:26:45"	"Gemlux kush "	"Хлебопечки"
"1672"	"Хлебопечка GEMLUX GL-BM-599"	"http://gemlux.ru/catalog/household-appliances/cooking/khlebopechki/khlebopechka_gemlux_gl_bm_599/"	"2018-03-06 14:26:45"	"Gemlux kush "	"Хлебопечки"
"1673"	"Хлебопечка GEMLUX GL-BM-577"	"http://gemlux.ru/catalog/household-appliances/cooking/khlebopechki/khlebopechka_gemlux_gl_bm_577/"	"2018-03-06 14:26:45"	"Gemlux kush "	"Хлебопечки"
"1674"	"Фритюрница GEMLUX GL-DF-4D"	"http://gemlux.ru/catalog/household-appliances/cooking/fryers/frityurnitsa_gemlux_gl_df_4d/"	"2018-03-06 14:26:49"	"Gemlux kush "	"Фритюрницы"
"1675"	"Фритюрница GEMLUX GL-DF-4MT"	"http://gemlux.ru/catalog/household-appliances/cooking/fryers/frityurnitsa_gemlux_gl_df_4mt/"	"2018-03-06 14:26:49"	"Gemlux kush "	"Фритюрницы"
"1676"	"Фризер мороженого GEMLUX GL-ICM507"	"http://gemlux.ru/catalog/household-appliances/cooking/freezers/frizer_morozhenogo_gemlux_gl_icm507/"	"2018-03-06 14:26:52"	"Gemlux kush "	"Фризеры мороженого"
"1677"	"Фризер мороженого GEMLUX GL-ICM503"	"http://gemlux.ru/catalog/household-appliances/cooking/freezers/frizer_morozhenogo_gemlux_gl_icm503/"	"2018-03-06 14:26:52"	"Gemlux kush "	"Фризеры мороженого"
"1678"	"Фризер мороженого GEMLUX GL-ICM2518"	"http://gemlux.ru/catalog/household-appliances/cooking/freezers/frizer_morozhenogo_gemlux_gl_icm2518/"	"2018-03-06 14:26:52"	"Gemlux kush "	"Фризеры мороженого"
"1679"	"Тостер GEMLUX GL-T-4S"	"http://gemlux.ru/catalog/household-appliances/cooking/tostery/toster_gemlux_gl_t_4s/"	"2018-03-06 14:26:55"	"Gemlux kush "	"Тостеры"
"1680"	"Тостер GEMLUX GL-T-2S"	"http://gemlux.ru/catalog/household-appliances/cooking/tostery/toster_gemlux_gl_t_2s/"	"2018-03-06 14:26:55"	"Gemlux kush "	"Тостеры"
"1681"	"Тестораскатывающая машина GEMLUX GL-PMZ-180"	"http://gemlux.ru/catalog/household-appliances/cooking/dough-sheeter/testoraskatyvayushchaya_mashina_gemlux_gl_pmz_180/"	"2018-03-06 14:26:57"	"Gemlux kush "	"Тестораскатывающие машины"
"1682"	"Тестораскатывающая машина GEMLUX GL-PMZ-150"	"http://gemlux.ru/catalog/household-appliances/cooking/dough-sheeter/testoraskatyvayushchaya_mashina_gemlux_gl_pmz_150/"	"2018-03-06 14:26:57"	"Gemlux kush "	"Тестораскатывающие машины"
"1683"	"Тестораскатывающая машина GEMLUX GL-PMF-180"	"http://gemlux.ru/catalog/household-appliances/cooking/dough-sheeter/testoraskatyvayushchaya_mashina_gemlux_gl_pmf_180/"	"2018-03-06 14:26:57"	"Gemlux kush "	"Тестораскатывающие машины"
"1684"	"Тестораскатывающая машина GEMLUX GL-PMF-150"	"http://gemlux.ru/catalog/household-appliances/cooking/dough-sheeter/testoraskatyvayushchaya_mashina_gemlux_gl_pmf_150/"	"2018-03-06 14:26:57"	"Gemlux kush "	"Тестораскатывающие машины"
"1685"	"Термометр для пищевых продуктов GEMLUX GL-DT-11"	"http://gemlux.ru/catalog/household-appliances/cooking/termometry_dlya_pishchevykh_produktov/termometr_dlya_pishchevykh_produktov_gemlux_gl_dt_11/"	"2018-03-06 14:26:59"	"Gemlux kush "	"Термометры для пищевых продуктов"
"1686"	"Сушилка для овощей и фруктов GEMLUX GL-FD-800D"	"http://gemlux.ru/catalog/household-appliances/cooking/dryers/sushilka_dlya_ovoshchey_i_fruktov_gemlux_gl_fd_800d/"	"2018-03-06 14:27:03"	"Gemlux kush "	"Сушилки для овощей и фруктов"
"1687"	"Сушилка для овощей и фруктов GEMLUX GL-FD-01R"	"http://gemlux.ru/catalog/household-appliances/cooking/dryers/sushilka_dlya_ovoshchey_i_fruktov_gemlux_gl_fd_01r/"	"2018-03-06 14:27:03"	"Gemlux kush "	"Сушилки для овощей и фруктов"
"1688"	"Сушилка для рук GEMLUX GL-HD1800P"	"http://gemlux.ru/catalog/household-appliances/cooking/hand-dryer-hairdryers/sushilka_dlya_ruk_gemlux_gl_hd1800p/"	"2018-03-06 14:27:06"	"Gemlux kush "	"Сушилка для рук и фены"
"1689"	"Фен настенный GEMLUX GL-HDW1200"	"http://gemlux.ru/catalog/household-appliances/cooking/hand-dryer-hairdryers/fen_nastennyy_gemlux_gl_hdw1200/"	"2018-03-06 14:27:06"	"Gemlux kush "	"Сушилка для рук и фены"
"1690"	"Соковыжималка GEMLUX GL-SJ8150"	"http://gemlux.ru/catalog/household-appliances/cooking/juicers/sokovyzhimalka_gemlux_gl_sj8150/"	"2018-03-06 14:27:08"	"Gemlux kush "	"Соковыжималки"
"1691"	"Соковыжималка GEMLUX GL-CJ189"	"http://gemlux.ru/catalog/household-appliances/cooking/juicers/sokovyzhimalka_gemlux_gl_cj189/"	"2018-03-06 14:27:08"	"Gemlux kush "	"Соковыжималки"
"1692"	"Соковыжималка GEMLUX GL-PJ-999"	"http://gemlux.ru/catalog/household-appliances/cooking/juicers/sokovyzhimalka_gemlux_gl_pj_999/"	"2018-03-06 14:27:08"	"Gemlux kush "	"Соковыжималки"
"1693"	"Соковыжималка GEMLUX GL-CJ100"	"http://gemlux.ru/catalog/household-appliances/cooking/juicers/sokovyzhimalka_gemlux_gl_cj100/"	"2018-03-06 14:27:08"	"Gemlux kush "	"Соковыжималки"
"1694"	"Соковыжималка GEMLUX GL-SJ-73P"	"http://gemlux.ru/catalog/household-appliances/cooking/juicers/sokovyzhimalka_gemlux_gl_sj_73p/"	"2018-03-06 14:27:08"	"Gemlux kush "	"Соковыжималки"
"1695"	"Пресс-гриль GEMLUX GL-CG871N"	"http://gemlux.ru/catalog/household-appliances/cooking/press-grili/press_gril_gemlux_gl_cg871n/"	"2018-03-06 14:27:10"	"Gemlux kush "	"Пресс-грили"
"1696"	"Пресс-гриль GEMLUX GL-CG-01"	"http://gemlux.ru/catalog/household-appliances/cooking/press-grili/press_gril_gemlux_gl_cg_01/"	"2018-03-06 14:27:10"	"Gemlux kush "	"Пресс-грили"
"1697"	"Погружной термостат GEMLUX GL-SV800BLR"	"http://gemlux.ru/catalog/household-appliances/cooking/pogruzhnye_termostaty/pogruzhnoy_termostat_gemlux_gl_sv800blr/"	"2018-03-06 14:27:13"	"Gemlux kush "	"Погружные термостаты"
"1698"	"Погружной термостат GEMLUX GL-SV800SQ"	"http://gemlux.ru/catalog/household-appliances/cooking/pogruzhnye_termostaty/pogruzhnoy_termostat_gemlux_gl_sv800sq/"	"2018-03-06 14:27:13"	"Gemlux kush "	"Погружные термостаты"
"1699"	"Плита инфракрасная GEMLUX GL-IC-222"	"http://gemlux.ru/catalog/household-appliances/cooking/infrared-ovens/plita_infrakrasnaya_gemlux_gl_ic_222/"	"2018-03-06 14:27:18"	"Gemlux kush "	"Плиты инфракрасные"
"1700"	"Плита инфракрасная GEMLUX GL-IC-221"	"http://gemlux.ru/catalog/household-appliances/cooking/infrared-ovens/plita_infrakrasnaya_gemlux_gl_ic_221/"	"2018-03-06 14:27:18"	"Gemlux kush "	"Плиты инфракрасные"
"1701"	"Плита инфракрасная GEMLUX GL-IC28B"	"http://gemlux.ru/catalog/household-appliances/cooking/infrared-ovens/plita_infrakrasnaya_gemlux_gl_ic28b/"	"2018-03-06 14:27:18"	"Gemlux kush "	"Плиты инфракрасные"
"1702"	"Плита инфракрасная GEMLUX GL-IC20S"	"http://gemlux.ru/catalog/household-appliances/cooking/infrared-ovens/plita_infrakrasnaya_gemlux_gl_ic20s/"	"2018-03-06 14:27:18"	"Gemlux kush "	"Плиты инфракрасные"
"1703"	"Плита комбинированная (индукционная/инфракрасная) GEMLUX GL-IPIC3400"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_kombinirovannaya_induktsionnaya_infrakrasnaya_gemlux_gl_ipic3400/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1704"	"Плита индукционная GEMLUX GL-IP3600HG"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip3600hg/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1705"	"Плита индукционная GEMLUX GL-IP3400"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ip3400/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
"1706"	"Плита индукционная GEMLUX GL-IC35PB"	"http://gemlux.ru/catalog/household-appliances/cooking/induction-cooktop/plita_induktsionnaya_gemlux_gl_ic35pb/"	"2018-03-06 14:27:22"	"Gemlux kush "	"Плиты индукционные"
